Element_ID,Stretch_Value
374,1.03014518663
375,1.02417764147
376,1.02414388339
377,1.05553987927
378,1.03802680546
379,1.05526013926
380,1.03115216368
381,1.06535512975
382,1.0481128406
383,1.02577785343
384,1.02683209836
385,1.02487305646
386,1.03324748744
387,1.0252441939
388,1.02566912912
389,1.0307403256
390,1.02450654506
391,1.02600227195
392,1.05397200145
393,1.042103185
394,1.02556271779
395,1.02256234354
396,1.0407717214
397,1.02557418263
398,1.02256412988
399,1.02608566264
400,1.04424595093
401,1.03544628943
402,1.05619052318
403,1.02584927629
404,1.03472972789
405,1.03291799628
406,1.02325687683
407,1.02293718198
408,1.06275906774
409,1.02293316917
410,1.02141636391
411,1.02253552146
412,1.02252494754
413,1.0437109916
414,1.03413392163
415,1.04287657088
416,1.02366333851
417,1.02366687075
418,1.0655832102
419,1.04768250407
420,1.01909670654
421,1.04279842075
422,1.03461675051
423,1.02272200213
424,1.04556245312
425,1.0548217028
426,1.04417329682
427,1.0529002657
428,1.02273256844
429,1.02468776991
430,1.02270693396
431,1.02277902138
432,1.02220471294
433,1.02463895956
434,1.02684490696
435,1.0440021992
436,1.04537508654
437,1.02154458029
438,1.0216516469
439,1.02271338875
440,1.02300643422
441,1.04294977254
442,1.02143910073
443,1.02027685754
444,1.0240267451
445,1.02489595335
446,1.04115891342
447,1.02261619019
448,1.05341180089
449,1.03075715916
450,1.02350962199
451,1.04397861162
452,1.04817174348
453,1.02397129622
454,1.02379085237
455,1.02558029336
456,1.02309697998
457,1.02864543158
458,1.03036123798
459,1.02915046341
460,1.02027977444
461,1.04492072273
462,1.05074641689
463,1.0478490099
464,1.05758237057
465,1.05273967842
466,1.06263784231
467,1.05702626054
468,1.03094662177
469,1.05448207778
470,1.04812840491
471,1.04523415969
472,1.02470553552
473,1.03241116055
474,1.02617806338
475,1.03313734313
476,1.03137393361
477,1.03579521865
478,1.03605875408
479,1.03669956086
480,1.03905572228
481,1.03932375486
482,1.03496529724
483,1.04469884866
484,1.03278068314
485,1.04438099549
486,1.03204707248
487,1.03748585203
488,1.03868659613
489,1.03881678847
490,1.04396694925
491,1.04058142663
492,1.03957453345
493,1.04919411547
494,1.04635931039
495,1.03460761625
496,1.04251780608
497,1.04318804548
498,1.04287604871
499,1.04356520587
500,1.04607880989
501,1.03737583197
502,1.04169182122
503,1.04647171663
504,1.04640751987
505,1.04823666895
506,1.0480290582
507,1.05224256758
508,1.04973497363
509,1.03487847515
510,1.03694458967
511,1.04823297045
512,1.05112430413
513,1.04528662458
514,1.05281444755
515,1.05036086824
516,1.05319599475
517,1.05325908755
